"Notes","Race","Race Code","State","State Code","Year","Year Code","ICD-10 113 Cause List","ICD-10 113 Cause List Code",Deaths,Population,Crude Rate
,"Asian or Pacific Islander","A-PI","California","06","2004","2004","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,4750147,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2004","2004","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,4750147,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2005","2005","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,4884264,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2005","2005","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,4884264,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,5013374,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,5013374,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,5281970,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,5281970,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,5515120,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,5515120,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,5917918,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,6113222,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,6113222,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,6362798,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,6362798,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,6626166,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,6626166,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,6678634,Unreliable
,"Asian or Pacific Islander","A-PI","California","06","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,6678634,Unreliable
