race,race_code,state,state_code,year,year_code,icd10_113_cause_list,icd10_113_cause_list_code,deaths,population,crude_rate
Asian or Pacific Islander,A-PI,California,6.0,2004,2004.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,4750147.0,
Asian or Pacific Islander,A-PI,California,6.0,2004,2004.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,15.0,4750147.0,
Asian or Pacific Islander,A-PI,California,6.0,2005,2005.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,4884264.0,
Asian or Pacific Islander,A-PI,California,6.0,2005,2005.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,11.0,4884264.0,
Asian or Pacific Islander,A-PI,California,6.0,2006,2006.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,5013374.0,
Asian or Pacific Islander,A-PI,California,6.0,2006,2006.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,5013374.0,
Asian or Pacific Islander,A-PI,California,6.0,2008,2008.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,5281970.0,
Asian or Pacific Islander,A-PI,California,6.0,2008,2008.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,11.0,5281970.0,
Asian or Pacific Islander,A-PI,California,6.0,2010,2010.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,5515120.0,
Asian or Pacific Islander,A-PI,California,6.0,2010,2010.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,5515120.0,
Asian or Pacific Islander,A-PI,California,6.0,2013,2013.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,5917918.0,
Asian or Pacific Islander,A-PI,California,6.0,2014,2014.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,6113222.0,
Asian or Pacific Islander,A-PI,California,6.0,2014,2014.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,6113222.0,
Asian or Pacific Islander,A-PI,California,6.0,2016,2016.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,16.0,6362798.0,
