race,year,predicted_crude_rate
Black or African American,2021,1.0327197064398703
Black or African American,2022,1.0526078897791038
Black or African American,2023,1.0724960731183373
Black or African American,2024,1.0923842564575708
Black or African American,2025,1.1122724397967971
Black or African American,2026,1.1321606231360306
Black or African American,2027,1.152048806475264
Black or African American,2028,1.1719369898144976
Black or African American,2029,1.191825173153731
Black or African American,2030,1.2117133564929645
Black or African American,2031,1.231601539832198
Black or African American,2032,1.2514897231714244
Black or African American,2033,1.2713779065106579
Black or African American,2034,1.2912660898498913
White,2021,0.3403986345871157
White,2022,0.3482825992521157
White,2023,0.35616656391711743
White,2024,0.3640505285821174
White,2025,0.37193449324711914
White,2026,0.3798184579121191
White,2027,0.38770242257712084
White,2028,0.3955863872421208
White,2029,0.40347035190712255
White,2030,0.4113543165721225
White,2031,0.41923828123712426
White,2032,0.42712224590212244
White,2033,0.4350062105671242
White,2034,0.4428901752321259
Asian or Pacific Islander,2021,0.3025151732248279
Asian or Pacific Islander,2022,0.3051939835726447
Asian or Pacific Islander,2023,0.3078727939204615
Asian or Pacific Islander,2024,0.3105516042682783
Asian or Pacific Islander,2025,0.31323041461609513
Asian or Pacific Islander,2026,0.3159092249639128
Asian or Pacific Islander,2027,0.31858803531172963
Asian or Pacific Islander,2028,0.32126684565954644
Asian or Pacific Islander,2029,0.32394565600736325
Asian or Pacific Islander,2030,0.32662446635518005
Asian or Pacific Islander,2031,0.32930327670299686
Asian or Pacific Islander,2032,0.33198208705081367
Asian or Pacific Islander,2033,0.33466089739863136
Asian or Pacific Islander,2034,0.33733970774644817
