race,year,predicted_crude_rate
Black or African American,2021,0.8624317749317925
Black or African American,2022,0.8378970196044975
Black or African American,2023,0.8096603527219486
Black or African American,2024,0.7777217742850553
Black or African American,2025,0.7420812842901796
Black or African American,2026,0.70273888274005
Black or African American,2027,0.659694569635576
Black or African American,2028,0.6129483449731197
Black or African American,2029,0.5625002087544999
Black or African American,2030,0.5083501609824452
Black or African American,2031,0.45049820165240817
Black or African American,2032,0.3889443307680267
Black or African American,2033,0.32368854832657235
Black or African American,2034,0.2547308543289546
White,2021,0.2702205170930938
White,2022,0.2597971467566822
White,2023,0.24784816516967112
White,2024,0.23437357233206058
White,2025,0.21937336824476006
White,2026,0.20284755290686007
White,2027,0.18479612631972486
White,2028,0.16521908848153544
White,2029,0.14411643939274654
White,2030,0.12148817905381293
White,2031,0.09733430746473459
White,2032,0.07165482462505679
White,2033,0.044449730535234266
White,2034,0.015719025195267022
Asian or Pacific Islander,2021,0.4848342081277224
Asian or Pacific Islander,2022,0.555796294916945
Asian or Pacific Islander,2023,0.6339129644638888
Asian or Pacific Islander,2024,0.7191842167721916
Asian or Pacific Islander,2025,0.8116100518363965
Asian or Pacific Islander,2026,0.9111904696637794
Asian or Pacific Islander,2027,1.0179254702470644
Asian or Pacific Islander,2028,1.1318150535917084
Asian or Pacific Islander,2029,1.2528592196940735
Asian or Pacific Islander,2030,1.3810579685577977
Asian or Pacific Islander,2031,1.516411300177424
Asian or Pacific Islander,2032,1.6589192145602283
Asian or Pacific Islander,2033,1.8085817116989347
Asian or Pacific Islander,2034,1.965398791599
